old_url,old_path,classification,redirect_status,target,local_target_exists,chain
"https://oztimberfloor.com.au/products/topdeck-legend-mainland-brown-oak/","/products/topdeck-legend-mainland-brown-oak/","close topical match","301","/products/prime-legend-mainland-brown-oak/","true","/products/topdeck-legend-mainland-brown-oak/ > /products/prime-legend-mainland-brown-oak/"
"https://oztimberfloor.com.au/products/topdeck-legend-sandcastle-oak/","/products/topdeck-legend-sandcastle-oak/","close topical match","301","/products/prime-legend-sandcastle-oak/","true","/products/topdeck-legend-sandcastle-oak/ > /products/prime-legend-sandcastle-oak/"
"https://oztimberfloor.com.au/products/topdeck-legend-southport-oak/","/products/topdeck-legend-southport-oak/","close topical match","301","/products/prime-legend-southport-oak/","true","/products/topdeck-legend-southport-oak/ > /products/prime-legend-southport-oak/"
"https://oztimberfloor.com.au/products/topdeck-legend-spotted-gum/","/products/topdeck-legend-spotted-gum/","close topical match","301","/products/prime-legend-spotted-gum/","true","/products/topdeck-legend-spotted-gum/ > /products/prime-legend-spotted-gum/"
"https://oztimberfloor.com.au/products/topdeck-legend-wheaton-oak/","/products/topdeck-legend-wheaton-oak/","close topical match","301","/products/prime-legend-wheaton-oak/","true","/products/topdeck-legend-wheaton-oak/ > /products/prime-legend-wheaton-oak/"
"https://oztimberfloor.com.au/products/topdeck-lime-wash/","/products/topdeck-lime-wash/","close topical match","301","/products/prime-contemporary-plus-lime-wash/","true","/products/topdeck-lime-wash/ > /products/prime-contemporary-plus-lime-wash/"
"https://oztimberfloor.com.au/products/topdeck-limed-ash/","/products/topdeck-limed-ash/","close topical match","301","/products/cavallo-bianco-limed-ash/","true","/products/topdeck-limed-ash/ > /products/cavallo-bianco-limed-ash/"
"https://oztimberfloor.com.au/products/topdeck-lumiere-bellevue-avenue/","/products/topdeck-lumiere-bellevue-avenue/","close topical match","301","/products/lumiere-ultra-hd-bellevue-avenue/","true","/products/topdeck-lumiere-bellevue-avenue/ > /products/lumiere-ultra-hd-bellevue-avenue/"
"https://oztimberfloor.com.au/products/topdeck-lumiere-blackbutt/","/products/topdeck-lumiere-blackbutt/","close topical match","301","/products/lumiere-ultra-hd-blackbutt/","true","/products/topdeck-lumiere-blackbutt/ > /products/lumiere-ultra-hd-blackbutt/"
"https://oztimberfloor.com.au/products/topdeck-lumiere-cayman-oak/","/products/topdeck-lumiere-cayman-oak/","close topical match","301","/products/lumiere-ultra-hd-cayman-oak/","true","/products/topdeck-lumiere-cayman-oak/ > /products/lumiere-ultra-hd-cayman-oak/"
